scientific_name,local_names,regions,medicinal_uses,preparation,dosage,contraindications,philosophy_embodied,spiritual_use,related_healing_practice
Artemisia afra,African wormwood|Umhlonyane (Zulu)|Lengana (Sotho),Southern Africa East Africa,Malaria|fever|cough|digestive disorders|respiratory infections,Decoction|infusion|steam inhalation|poultice,1 cup tea 3x daily|steam inhalation 2x daily,Pregnancy|epilepsy|kidney disease,Ma'at (natural antimalarial)|Ntu (vital force),Spiritual cleansing smoke|protective fumigation,Traditional herbalism|smoke inhalation
Aloe ferox,Cape aloe|Bitter aloe|Umhlaba (Xhosa),Southern Africa,Wounds|burns|skin conditions|digestive issues|laxative,Fresh gel topical|juice internal use|powder,Topical as needed|juice 50ml daily,Pregnancy|intestinal obstruction|kidney disease,Ma'at (healing balance)|skin restoration,Protective planting|spiritual blessing,Herbalism|wound care
Moringa oleifera,Moringa|Drumstick tree|Zogale (Hausa)|Mlonge (Swahili),West Africa East Africa,Malnutrition|anemia|inflammation|diabetes|high blood pressure,Leaf powder|fresh leaves|tea|oil extraction,1-2 teaspoons powder daily|fresh leaves in food,Pregnancy (high doses)|blood thinners interaction,Ntu (vital force restoration)|complete nutrition,Blessing tree|protective planting,Traditional herbalism|nutrition therapy
Azadirachta indica,Neem|Dogonyaro (Yoruba)|Mwarobaini (Swahili),West Africa East Africa,Malaria|skin diseases|dental care|diabetes|immune boost,Leaf decoction|bark tea|oil application|tooth sticks,Tea 2-3x daily|oil topical|tooth stick daily,Pregnancy|fertility attempts|children,Ma'at (balance)|natural pharmacy,Protective planting|spiritual cleansing,Herbalism|dental care|spiritual bathing
Sutherlandia frutescens,Cancer bush|Kankerbos|Unwele (Xhosa),Southern Africa,Cancer support|immune boost|diabetes|stress|TB support,Tea|tincture|capsules,1-2 cups tea daily|300-800mg capsules,Pregnancy|transplant patients|immunosuppressants,Ubuntu (community healing)|hope medicine,Prayer blessing|spiritual strength,Traditional herbalism|spiritual healing
Pelargonium sidoides,African geranium|Umckaloabo (Zulu),Southern Africa,Respiratory infections|bronchitis|sinusitis|TB,Root extract|tincture|syrup,30 drops 3x daily|syrup per label,Pregnancy|liver disease|bleeding disorders,Ma'at (respiratory balance)|healing power,Healing blessing|spiritual protection,Herbalism|respiratory therapy
Hoodia gordonii,Hoodia|Ghaap (Afrikaans),Southern Africa,Appetite suppression|thirst suppression|energy,Raw plant|powder|extract,Small amounts|commercial extracts per label,Pregnancy|diabetes|heart conditions|liver disease,San wisdom|survival medicine,Sacred plant|spiritual fasting aid,Fasting therapy|traditional herbalism
Buchu,Bookoo|Boegoe,South Africa,Urinary infections|kidney health|inflammation|digestive aid,Tea|tincture|oil,1-2 cups tea daily|tincture per label,Pregnancy|kidney disease|liver disease,Khoisan medicine|purification,Spiritual cleansing|purification ritual,Herbalism|ritual washing
Rooibos,Red bush tea|Rooiboste,South Africa,Antioxidant|skin conditions|digestive aid|infant colic|allergies,Tea infusion|topical application,Unlimited consumption safe,None known (very safe),Ubuntu (communal wellness)|gentle healing,Blessing tea|spiritual refreshment,Herbalism|infant care|skin therapy
Devil's Claw,Duiwelsklou|Windhoek|Grapple plant,Southern Africa,Arthritis|pain relief|inflammation|digestive bitter,Root tea|capsules|tincture,1-2g dried root|400-600mg capsules 3x daily,Pregnancy|gallstones|peptic ulcers|diabetes meds,San healing wisdom|pain relief,Spiritual protection (name)|healing blessing,Bone-setting|herbalism
Warburgia salutaris,Pepper-bark tree|Isibhaha (Zulu)|Mulongo (Shona),Southern Africa East Africa,Malaria|chest infections|fever|stomach ailments|toothache,Bark decoction|powder|chewing sticks,Small amounts (very powerful)|tea 1 cup 2x daily,Over-harvesting concern|pregnancy caution,Powerful healing (endangered)|sacred medicine,Spiritual protection|powerful blessing,Herbalism|dental care|fever treatment
Kigelia africana,Sausage tree|Umvungutane (Zulu)|Mwegea (Swahili),Pan-African,Skin cancer|wounds|snake bites|breast firming|anti-aging,Fruit extract|bark decoction|topical application,Topical use|decoction external only,Internal fruit consumption toxic (except prepared),Powerful medicine|transformative healing,Sacred tree|spiritual protection,Wound healing|skin therapy|spiritual protection
Prunus africana,African cherry|Red stinkwood|Muiri (Kikuyu),Central Africa East Africa,Prostate health|urinary problems|fever|kidney disease,Bark decoction|extract|capsules,50-100mg extract 2x daily,Pregnancy|liver disease|surgery interactions,Ma'at (male health balance)|elder medicine,Spiritual strength|masculine blessing,Herbalism|elder care
Combretum imberbe,Leadwood|Hardekool|Umbondwe (Zulu),Southern Africa,Dysentery|diarrhea|abdominal pain|respiratory infections,Bark/root decoction|leaf tea,1 cup tea 2-3x daily,Pregnancy|excess doses,Ancient wisdom (tree longevity)|enduring healing,Sacred tree|spiritual grounding,Herbalism|digestive therapy
Harpagophytum procumbens,Devil's Claw (primary species)|Duiwelsklou,Southern Africa Namibia,Arthritis|rheumatism|digestive bitters|fever,Root tea|capsules|tincture,1.5-3g daily in divided doses,Pregnancy|peptic ulcers|gallstones|heart meds,San healing tradition|pain medicine,Healing blessing|pain relief prayer,Bone-setting|herbalism|pain management
Hypoxis hemerocallidea,African potato|Ilabatheka (Zulu)|Inongwe (Xhosa),Southern Africa,Immune boost|HIV support|TB|prostate|urinary health,Corm powder|tea|capsules,300-600mg capsules 3x daily|tea,Pregnancy|iron overload|liver disease,Ubuntu (community immune support)|vital force,Strength blessing|spiritual fortification,Herbalism|immune therapy
Agathosma betulina,Buchu (primary species)|Boegoe,South Africa Western Cape,UTI|kidney inflammation|rheumatism|digestive aid,Leaf tea|tincture|oil,1-2g dried leaf 3x daily|tincture per label,Pregnancy|kidney/liver disease,Khoisan purification medicine,Spiritual cleansing|purification,Ritual washing|herbalism
Sceletium tortuosum,Kanna|Channa|Kougoed,South Africa,Mood elevation|anxiety|stress|appetite suppression,Chewing|tea|tincture|powder,50-200mg|traditional chewing method,Pregnancy|SSRI interaction|heart conditions,San mood medicine|spiritual uplift,Spiritual clarity|ceremonial use,Herbalism|spiritual healing|mental health
Cannabis sativa,Dagga (South Africa)|Bangi (Swahili)|Indian hemp,Pan-African,Pain|nausea|appetite|glaucoma|muscle spasms,Smoking|tea|oil|topical,Varies widely|microdosing recommended,Pregnancy|psychosis|schizophrenia|heart disease|young people,Controversial (criminalized)|traditional medicine vs modern laws,Spiritual visions|ceremonial (some traditions)|divination enhancement,Herbalism|pain management|spiritual practices (restricted)
Catharanthus roseus,Madagascar periwinkle|Vinca|Chemotherapy source,Pan-African (originated Madagascar),Diabetes|cancer (pharmaceutical use)|high blood pressure,Tea (caution)|pharmaceutical extracts only,Only pharmaceutical preparations safe,Direct plant toxic|pregnancy|liver disease,Ma'at (powerful medicine requiring balance),Sacred healing plant|pharmaceutical blessing,Herbalism (historical)|modern pharmaceutical source
Rauvolfia vomitoria,Swizzle stick|African snake root,West Africa Central Africa,High blood pressure|mental disorders|snake bites,Root decoction|bark preparation,Small amounts (very powerful alkaloids),Pregnancy|low blood pressure|depression|ulcers,Powerful medicine requiring expertise,Spiritual protection|mental clarity,Herbalism|mental health treatment
Voacanga africana,Voacanga,West Africa Central Africa,Fever|malaria|mental stimulation|ibogaine precursor,Bark/seed preparation (caution)|traditional use limited,Traditional small amounts only|pharmaceutical extraction,Cardiac issues|pregnancy|powerful alkaloids,Powerful spiritual medicine|vision plant,Spiritual visions|divination|initiation ceremonies,Spiritual healing|traditional herbalism (expert use)
Tabernanthe iboga,Iboga,Central Africa (Gabon Cameroon Congo),Addiction treatment|spiritual initiation|stimulant|fatigue,Root bark preparation (ceremonial only)|pharmaceutical extracts,Ceremonial doses only (dangerous)|medical supervision required,Cardiac disease|pregnancy|many medications|seizures|must screen,Bwiti spiritual tradition|powerful initiation medicine,Central to Bwiti religion|spiritual rebirth|ancestral communion,Spiritual initiation|addiction therapy (clinical)|divination
Acacia senegal,Gum arabic|Kordofan gum,Sahel region West Africa,Digestive health|prebiotic|wound healing|kidney protection,Gum dissolved in water|powder,5-15g daily in water,None known (very safe),Ma'at (gentle healing)|nutritive medicine,Blessing gum|spiritual offering,Herbalism|nutrition|wound care
Hibiscus sabdariffa,Roselle|Zobo (Hausa)|Karkaday|Bissap,West Africa North Africa,High blood pressure|fever|liver health|kidney health,Flower tea (hot or cold)|infusion,1-2 cups daily (rich color),Low blood pressure caution|pregnancy high doses,Ubuntu (communal drink)|cooling medicine,Celebratory drink|blessing beverage,Herbalism|nutrition|hydrotherapy
Cassia sieberiana,African laburnum|Mpandu (Swahili),West Africa Central Africa East Africa,Malaria|constipation|skin infections|worms,Bark/root decoction|leaf poultice,1 cup tea 1-2x daily|poultice topical,Pregnancy|excessive doses (strong laxative),Powerful purgative medicine,Cleansing ritual|spiritual purification,Herbalism|colon cleansing|spiritual bathing
Strophanthus gratus,Climbing oleander|Poison rope,West Africa Central Africa,Heart conditions (pharmaceutical use)|arrow poison historically,Pharmaceutical extraction only (seeds very toxic),Only pharmaceutical preparations,Highly toxic seeds|cardiac glycosides|pregnancy|self-use dangerous,Powerful medicine requiring great expertise|life-and-death plant,Spiritual protection|powerful medicine blessing,Historical use (arrow poison)|modern pharmaceutical source|herbalism (expert only)
Securidaca longipedunculata,Violet tree|Mpesu (Swahili)|Mpulosankana (Zulu),Pan-African,Snakebite|malaria|cough|venereal diseases|aphrodisiac,Root decoction|bark tea|topical application,Small amounts (powerful)|tea 1/2 cup 2x daily,Pregnancy|large doses,Powerful protective medicine|snake medicine,Spiritual protection|snake bite treatment|cleansing,Herbalism|spiritual protection|ritual medicine
Combretum molle,Velvet bush willow|Umdubu (Zulu)|Mlama (Swahili),Southern Africa East Africa,Dysentery|diarrhea|stomach ailments|cough|wounds,Leaf decoction|bark tea|topical leaf application,1 cup tea 2-3x daily|poultice topical,Pregnancy|constipation,Ma'at (digestive balance)|gentle healing,Blessing medicine|spiritual wellness,Herbalism|digestive therapy|wound care
Ziziphus mucronata,Buffalo thorn|Blinkblaar wag-'n-bietjie|Umphafa (Zulu),Southern Africa,Wounds|diarrhea|respiratory infections|chest pains,Bark decoction|leaf tea|topical application,1 cup tea 2x daily|poultice topical,None significant,Sacred tree (ancestral connection)|protective medicine,Ancestral tree (funeral tradition)|spiritual protection|blessing,Herbalism|wound healing|respiratory therapy
Bridelia micrantha,Coastal golden leaf|Mufura (Shona)|Muvhombwe,Southern Africa East Africa,Abdominal pains|diarrhea|wounds|gonorrhea,Bark/root decoction|leaf poultice,1 cup tea 2x daily|topical application,Pregnancy caution,Protective medicine|cleansing,Spiritual cleansing|protective blessing,Herbalism|wound care|digestive therapy
