odu_name,binary_code,odu_number,core_meaning,domain,priority_level,indicators,positive_actions,negative_actions,keywords
Ogbe,0,1,"Light, Clarity, Manifestation, Good Character",health,PREVENTIVE,high vitality|wellness metrics|preventive care|holistic health,maintain preventive care|regular health checks|wellness programs,investigate arrogance in care|check for neglected maintenance,vigilance|manifestation|good character|leadership|beginning
Ogbe,0,1,"Light, Clarity, Manifestation, Good Character",infrastructure,PREVENTIVE,strong foundation|source quality|structural integrity,inspect water sources|maintain foundations|ensure quality,check for neglected infrastructure|assess overconfidence in systems,vigilance|manifestation|good character|leadership|beginning
Oyeku,1111,2,"Darkness, Death, Endings, The Unknown",health,CRITICAL,disease outbreak|mortality spike|chronic conditions|contamination,deep cleansing protocols|prepare renewal systems|investigate hidden threats,emergency response|quarantine measures|contamination control,darkness|endings|death|mystery|closure|cleansing
Oyeku,1111,2,"Darkness, Death, Endings, The Unknown",infrastructure,CRITICAL,system failure|contamination detected|complete breakdown|dead zones,thorough system cleansing|prepare for renewal|investigate hidden contamination,emergency shutdown|contamination containment|system replacement,darkness|endings|death|mystery|closure|cleansing
Iwori,1001,3,"Fire, Transformation, Conflict, Identity",health,URGENT,inflammation|fever|acute conditions|immune response,transformative treatment|purification protocols,pause and assess|manage conflicts|prevent escalation,vitality|fire|transformation|conflict|individuation
Iwori,1001,3,"Fire, Transformation, Conflict, Identity",infrastructure,URGENT,disruption|conflict points|pressure buildup|system stress,transformative upgrades|stress relief,pause operations|manage conflicts|prevent system escalation,vitality|fire|transformation|conflict|individuation
Odi,110,4,"Blockage, Obstruction, Boundaries",health,HIGH,blockages|constipation|circulation issues|stagnation,clear blockages|restore flow|set healthy boundaries,emergency unblocking|circulation restoration,blockage|obstruction|boundaries|people-pleasing|weakness
Odi,110,4,"Blockage, Obstruction, Boundaries",infrastructure,HIGH,pipe blockages|flow obstruction|clogged systems,clear obstructions|restore flow|preventive cleaning,emergency pipe clearing|system shutdown prevention,blockage|obstruction|boundaries|people-pleasing|weakness
Irosun,11,5,"Healing, Medicine, Ancestral Connection",health,MODERATE,healing in progress|treatment response|recovery phase,apply healing measures|ancestral wisdom protocols|treat root causes,address clouded judgment|improve treatment effectiveness,healing|medicine|ancestral wisdom|emotional clarity
Irosun,11,5,"Healing, Medicine, Ancestral Connection",infrastructure,MODERATE,repair needed|restoration phase|treatment systems,apply repair measures|restore systems|purification protocols,address ineffective repairs|improve treatment systems,healing|medicine|ancestral wisdom|emotional clarity
Owonrin,1100,6,"Chaos, Disorder, Inversion, Change",health,CRITICAL,chaos in body systems|disorder|epidemic conditions,restore order|manage chaos|transformation protocols,prevent cascading health failures|epidemic control,chaos|disorder|inversion|transformation|upheaval
Owonrin,1100,6,"Chaos, Disorder, Inversion, Change",infrastructure,CRITICAL,system chaos|disorder|multiple failures|cascading problems,restore system order|manage chaos|prevent cascade,emergency stabilization|prevent total collapse,chaos|disorder|inversion|transformation|upheaval
Obara,111,7,"Family, Community, Energy, Positive Action",health,MODERATE,community health|family wellness|social determinants,strengthen community health|collective action|family support,address community breakdown|restore relationships,family|community|energy|action|relationships|fidelity
Obara,111,7,"Family, Community, Energy, Positive Action",infrastructure,MODERATE,community systems|shared resources|collective infrastructure,strengthen community systems|collective maintenance|shared responsibility,address community infrastructure breakdown|restore collective systems,family|community|energy|action|relationships|fidelity
Okanran,1110,8,"Loss, Destruction, Difficult Processes",health,HIGH,loss of function|destructive processes|degenerative conditions,accept difficult processes|learn from loss|rebuild carefully,manage severe loss|prevent further destruction,loss|destruction|hardship|formative experiences
Okanran,1110,8,"Loss, Destruction, Difficult Processes",infrastructure,HIGH,infrastructure loss|destruction|degradation,accept loss|learn from failure|rebuild strategically,prevent further destruction|emergency stabilization,loss|destruction|hardship|formative experiences
Ogunda,1,9,"War, Conflict Resolution, Strength, Overcoming",health,URGENT,fighting disease|immune warfare|aggressive treatment needed,overcome disease obstacles|strategic treatment|conflict resolution,avoid treatment violence|prevent destructive interventions,war|conflict|strength|obstacles|resolution|violence
Ogunda,1,9,"War, Conflict Resolution, Strength, Overcoming",infrastructure,URGENT,system conflicts|competing demands|resource wars,resolve system conflicts|strategic resource allocation|overcome obstacles,avoid destructive solutions|prevent infrastructure violence,war|conflict|strength|obstacles|resolution|violence
Osa,1000,10,"Change, Transformation, Magic, Escape",health,MODERATE,transformative healing needed|sudden changes|magical interventions,embrace health transformation|seek balance|innovative treatments,manage chaotic changes|control external influences,change|transformation|magic|witchcraft|escape|balance
Osa,1000,10,"Change, Transformation, Magic, Escape",infrastructure,MODERATE,system transformation needed|paradigm shifts|innovative solutions,embrace system transformation|seek balance|innovative infrastructure,manage chaotic changes|control external influences,change|transformation|magic|witchcraft|escape|balance
Ika,1011,11,"Deception, Corruption, Order, Balance",health,HIGH,deceptive symptoms|hidden conditions|corruption in body,investigate hidden issues|restore order|divine correction,address deception|correct corruption|reveal evil thoughts,deception|corruption|order|balance|evil thoughts
Ika,1011,11,"Deception, Corruption, Order, Balance",infrastructure,HIGH,corruption|deceptive failures|hidden system problems,investigate hidden infrastructure issues|restore system order|correct corruption,address system deception|reveal hidden problems,deception|corruption|order|balance|evil thoughts
Oturupon,100,12,"Suffering, Hardship, Endurance, Hidden Truths",health,MODERATE,chronic suffering|endurance through illness|hidden conditions,endure with resilience|reveal hidden health truths|share healing blessings,address hoarded health resources|prevent breaking sacred health protocols,suffering|hardship|endurance|hidden truths|resilience
Oturupon,100,12,"Suffering, Hardship, Endurance, Hidden Truths",infrastructure,MODERATE,enduring hardship|hidden infrastructure problems|resilience needed,endure with system resilience|reveal hidden infrastructure truths|share resources,address hoarded infrastructure resources|prevent protocol breaking,suffering|hardship|endurance|hidden truths|resilience
Otura,10,13,"Revelation, Insight, Clarity, Destiny",health,MODERATE,diagnostic clarity needed|insight into conditions|revelatory healing,seek diagnostic clarity|align with health destiny|reveal hidden health insights,address confusion|correct misalignment|improve clarity,revelation|insight|clarity|destiny|alignment|transformation
Otura,10,13,"Revelation, Insight, Clarity, Destiny",infrastructure,MODERATE,system insights needed|diagnostic clarity|revealing problems,seek system clarity|align with infrastructure destiny|reveal hidden system insights,address system confusion|correct misalignment,revelation|insight|clarity|destiny|alignment|transformation
Irete,101,14,"Determination, Perseverance, Following Precepts",health,MODERATE,treatment adherence needed|determined recovery|protocol following,follow health protocols strictly|persevere in treatment|maintain discipline,address non-adherence|improve discipline|enforce protocols,determination|perseverance|following rules|strict adherence
Irete,101,14,"Determination, Perseverance, Following Precepts",infrastructure,MODERATE,standards following needed|strict maintenance|determined repair,follow infrastructure standards strictly|persevere in maintenance|maintain discipline,address non-compliance|improve discipline|enforce standards,determination|perseverance|following rules|strict adherence
Ose,1010,15,"Abundance, Prosperity, Change, Rituals",health,LOW,abundant health|prosperity in wellness|ritual healing,consistent intelligent health effort|perform healing rituals|complete health cycles,address lack of health abundance|complete incomplete cycles,abundance|prosperity|change|rituals|femininity|completion
Ose,1010,15,"Abundance, Prosperity, Change, Rituals",infrastructure,LOW,abundant resources|prosperous systems|ritual maintenance,consistent intelligent infrastructure effort|perform maintenance rituals|complete system cycles,address resource lack|complete incomplete infrastructure cycles,abundance|prosperity|change|rituals|femininity|completion
Ofun,101,16,"Wisdom, Knowledge, Mysteries, Purity",health,LOW,wisdom in healing|knowledge-based treatment|pure health,seek healing wisdom|apply health knowledge|maintain health purity,address health ignorance|improve knowledge|restore purity,wisdom|knowledge|mysteries|purity|white|clarity
Ofun,101,16,"Wisdom, Knowledge, Mysteries, Purity",infrastructure,LOW,knowledge systems|wise management|pure water systems,seek infrastructure wisdom|apply system knowledge|maintain water purity,address system ignorance|improve knowledge|restore water purity,wisdom|knowledge|mysteries|purity|white|clarity
