binary_pattern,divination_use,id,interpretation,labels,name_english,name_yoruba,odu_number,related_themes,ritual_context,symbolic_meaning
0,,0,Foundation and pure beginnings - divine order manifesting,OduIfa,,,0,,New moon ceremonies,
1,,1,Transformation through duality - birth and death cycle,OduIfa,,,1,,Eclipse rituals,
10,,2,Challenges revealing character - obstacles as teachers,OduIfa,,,2,,Initiation rites,
11,,3,Struggle between opposing forces - choosing sides,OduIfa,,,3,,Dispute resolution,
100,,4,Manifestation of divine will on earthly plane,OduIfa,,,4,,Harvest festivals,
101,,5,Order confronting entropy - structure vs randomness,OduIfa,,,5,,Storm preparation,
110,,6,Metamorphosis and rebirth - shedding old forms,OduIfa,,,6,,Coming-of-age ceremonies,
111,,7,Abundance through right action - karmic rewards,OduIfa,,,7,,Blessing ceremonies,
1000,,8,Movement from ignorance to wisdom,OduIfa,,,8,,Dawn ceremonies,
1001,,9,Deep mysteries and the unknown - ancestral realm,OduIfa,,,9,,Ancestral veneration,
1010,,10,Hidden obstacles - what cannot yet be seen,OduIfa,,,10,,Divination for dangers,
1011,,11,Internal conflict - battling inner demons,OduIfa,,,11,,Spiritual warfare,
1100,,12,Manifestation of hidden things - secrets revealed,OduIfa,,,12,,Truth ceremonies,
1101,,13,Confusion and disorientation - loss of bearings,OduIfa,,,13,,Protection rituals,
1110,,14,Transformation in the unseen realm,OduIfa,,,14,,Shadow work,
1111,,15,Hidden resources - treasures in shadow,OduIfa,,,15,,Treasure seeking,
10000,,16,Journey toward understanding and clarity,OduIfa,,,16,,Pilgrimage,
10001,,17,Dangerous journey - navigating peril,OduIfa,,,17,,Protection during travel,
10010,,18,Choices and crossroads - fork in the road,OduIfa,,,18,,Decision ceremonies,
10011,,19,Journey through strife - warrior's road,OduIfa,,,19,,Warrior initiation,
10100,,20,Journey to material success - effort rewarded,OduIfa,,,20,,Trade journeys,
10101,,21,Unpredictable journey - expect the unexpected,OduIfa,,,21,,Chaos navigation,
10110,,22,Journey of transformation - becoming,OduIfa,,,22,,Rites of passage,
10111,,23,Lucky journey - favorable winds,OduIfa,,,23,,Blessing travels,
11000,,24,Strife moving toward peace,OduIfa,,,24,,Peace ceremonies,
11001,,25,Hidden warfare - unseen battles,OduIfa,,,25,,Spiritual protection,
11010,,26,Obstacles blocking progress,OduIfa,,,26,,Obstacle removal,
11011,,27,Intense struggle - war on all sides,OduIfa,,,27,,Battle preparation,
11100,,28,争夺物质 - competition for wealth,OduIfa,,,28,,Resource disputes,
11101,,29,Unpredictable warfare - no rules,OduIfa,,,29,,Chaos warfare,
11110,,30,Struggle that changes everything,OduIfa,,,30,,Revolutionary rites,
11111,,31,Gains through struggle - victory spoils,OduIfa,,,31,,Victory ceremonies,
100000,,32,Divine blessing on material plane,OduIfa,,,32,,Agricultural rites,
100001,,33,Material loss - resources diminishing,OduIfa,,,33,,Famine preparation,
100010,,34,Material journey - physical travel,OduIfa,,,34,,Trade routes,
100011,,35,Property disputes - land battles,OduIfa,,,35,,Land disputes,
100100,,36,Abundance and fertility - harvest time,OduIfa,,,36,,Harvest festivals,
100101,,37,Unpredictable material conditions,OduIfa,,,37,,Disaster preparation,
100110,,38,Material transformation - alchemy,OduIfa,,,38,,Craft ceremonies,
100111,,39,Material blessings - prosperity,OduIfa,,,39,,Wealth ceremonies,
101000,,40,Entropy organizing - creating from chaos,OduIfa,,,40,,Creation from chaos,
101001,,41,Complete confusion - total disorientation,OduIfa,,,41,,Protection from chaos,
101010,,42,Unpredictable journey - random events,OduIfa,,,42,,Chaos navigation,
101011,,43,Anarchic warfare - no rules,OduIfa,,,43,,Chaos warfare,
101100,,44,Economic chaos - market instability,OduIfa,,,44,,Economic protection,
101101,,45,Maximum entropy - complete randomness,OduIfa,,,45,,Chaos management,
101110,,46,Change through disorder - creative destruction,OduIfa,,,46,,Revolutionary change,
101111,,47,Luck in disorder - finding order in chaos,OduIfa,,,47,,Chaos opportunity,
110000,,48,Transformation toward divinity,OduIfa,,,48,,Spiritual evolution,
110001,,49,Descent and dissolution - dark night of soul,OduIfa,,,49,,Dark night,
110010,,50,Transforming journey - becoming different,OduIfa,,,50,,Pilgrimage,
110011,,51,Struggle creating change,OduIfa,,,51,,Revolutionary rites,
110100,,52,Physical metamorphosis - changing form,OduIfa,,,52,,Shape-shifting,
110101,,53,Unpredictable change - random mutation,OduIfa,,,53,,Chaos change,
110110,,54,Complete metamorphosis - total rebirth,OduIfa,,,54,,Rebirth ceremonies,
110111,,55,Beneficial transformation - evolution,OduIfa,,,55,,Beneficial change,
111000,,56,Divine blessings - heavenly gifts,OduIfa,,,56,,Blessing ceremonies,
111001,,57,Hidden blessings - disguised gifts,OduIfa,,,57,,Hidden blessings,
111010,,58,Lucky journey - favorable conditions,OduIfa,,,58,,Fortunate travel,
111011,,59,Gains from struggle - war spoils,OduIfa,,,59,,Victory ceremonies,
111100,,60,Wealth and prosperity - abundance,OduIfa,,,60,,Wealth ceremonies,
111101,,61,Luck in chaos - random blessings,OduIfa,,,61,,Chaos blessings,
111110,,62,Blessings through change,OduIfa,,,62,,Transformative blessings,
111111,,63,Maximum blessings - ultimate prosperity,OduIfa,,,63,,Ultimate blessings,
1000000,,64,Military campaign for righteous cause,OduIfa,,,64,,Holy war,
1000001,,65,Hidden warfare - covert operations,OduIfa,,,65,,Espionage,
1000010,,66,Military campaign - journey to battle,OduIfa,,,66,,Military campaign,
1000011,,67,Combat and warfare - direct confrontation,OduIfa,,,67,,Battle,
1000100,,68,Fighting for material gains,OduIfa,,,68,,Resource warfare,
1000101,,69,Guerrilla warfare - irregular combat,OduIfa,,,69,,Guerrilla war,
1000110,,70,Combat evolution - martial growth,OduIfa,,,70,,Martial evolution,
1000111,,71,Victory and spoils - successful campaign,OduIfa,,,71,,Victory,
1001000,,72,Progress toward enlightenment,OduIfa,,,72,,Progress ceremonies,
1001001,,73,Stagnation and delay - stuck in time,OduIfa,,,73,,Breaking stagnation,
1001010,,74,Journey through time - temporal voyage,OduIfa,,,74,,Time travel,
1001011,,75,Battles across time - historical conflicts,OduIfa,,,75,,Historical warfare,
1001100,,76,Historical wealth - inherited resources,OduIfa,,,76,,Inheritance,
1001101,,77,Unpredictable temporal flow - time distortions,OduIfa,,,77,,Time chaos,
1001110,,78,Historical change - evolution over time,OduIfa,,,78,,Historical change,
1001111,,79,Patience rewarded - waiting pays off,OduIfa,,,79,,Patience rewards,
1010000,,80,Connections leading to understanding,OduIfa,,,80,,Network building,
1010001,,81,Hidden connections - occult networks,OduIfa,,,81,,Secret societies,
1010010,,82,Journey through networks - social travel,OduIfa,,,82,,Social navigation,
1010011,,83,Conflicting alliances - network warfare,OduIfa,,,83,,Alliance warfare,
1010100,,84,Economic networks - trade connections,OduIfa,,,84,,Trade networks,
1010101,,85,Unpredictable connections - random networks,OduIfa,,,85,,Chaos networks,
1010110,,86,Network evolution - changing connections,OduIfa,,,86,,Network evolution,
1010111,,87,Beneficial connections - lucky networks,OduIfa,,,87,,Beneficial networks,
1011000,,88,Progression toward enlightenment,OduIfa,,,88,,Flow ceremonies,
1011001,,89,Hidden currents - occult flows,OduIfa,,,89,,Hidden flows,
1011010,,90,Flowing journey - liquid travel,OduIfa,,,90,,Fluid journey,
1011011,,91,Conflicting currents - opposing flows,OduIfa,,,91,,Current conflict,
1011100,,92,Economic flow - wealth circulation,OduIfa,,,92,,Economic flow,
1011101,,93,Turbulent currents - chaotic flows,OduIfa,,,93,,Chaos currents,
1011110,,94,Evolutionary currents - changing flows,OduIfa,,,94,,Flow transformation,
1011111,,95,Beneficial currents - lucky flows,OduIfa,,,95,,Beneficial flow,
1100000,,96,Passionate pursuit of enlightenment,OduIfa,,,96,,Fire ceremonies,
1100001,,97,Hidden fire - occult passion,OduIfa,,,97,,Hidden fire,
1100010,,98,Passionate journey - burning desire,OduIfa,,,98,,Passionate journey,
1100011,,99,Passionate warfare - burning conflict,OduIfa,,,99,,Passionate warfare,
1100100,,100,Passionate acquisition - burning desire for wealth,OduIfa,,,100,,Passionate acquisition,
1100101,,101,Unpredictable passion - wild fire,OduIfa,,,101,,Chaos fire,
1100110,,102,Passionate transformation - burning change,OduIfa,,,102,,Fire transformation,
1100111,,103,Lucky passion - beneficial desire,OduIfa,,,103,,Fortunate passion,
1101000,,104,Stress leading to enlightenment,OduIfa,,,104,,Pressure ceremonies,
1101001,,105,Hidden stress - occult pressure,OduIfa,,,105,,Hidden pressure,
1101010,,106,Stressful journey - pressure travel,OduIfa,,,106,,Pressure journey,
1101011,,107,Intense warfare - pressure warfare,OduIfa,,,107,,Pressure warfare,
1101100,,108,Economic stress - financial pressure,OduIfa,,,108,,Economic pressure,
1101101,,109,Unpredictable stress - chaos pressure,OduIfa,,,109,,Chaos pressure,
1101110,,110,Stress-induced change - pressure transformation,OduIfa,,,110,,Pressure transformation,
1101111,,111,Beneficial stress - lucky pressure,OduIfa,,,111,,Fortunate pressure,
1110000,,112,Triumph leading to enlightenment,OduIfa,,,112,,Victory ceremonies,
1110001,,113,Hidden triumph - occult victory,OduIfa,,,113,,Hidden victory,
1110010,,114,Triumphant journey - winning path,OduIfa,,,114,,Victory journey,
1110011,,115,Winning warfare - battle triumph,OduIfa,,,115,,Battle victory,
1110100,,116,Economic triumph - financial success,OduIfa,,,116,,Economic victory,
1110101,,117,Unexpected triumph - chaos victory,OduIfa,,,117,,Chaos victory,
1110110,,118,Evolutionary triumph - victory transformation,OduIfa,,,118,,Victory transformation,
1110111,,119,Lucky triumph - maximum victory,OduIfa,,,119,,Ultimate victory,
1111000,,120,Spiritual ascension - divine connection,OduIfa,,,120,,Ascension ceremonies,
1111001,,121,Occult spirituality - dark mysticism,OduIfa,,,121,,Dark mysticism,
1111010,,122,Spiritual journey - quest for meaning,OduIfa,,,122,,Spiritual quest,
1111011,,123,Spiritual warfare - fighting evil,OduIfa,,,123,,Spiritual warfare,
1111100,,124,Earthly spirituality - grounded mysticism,OduIfa,,,124,,Grounded spirituality,
1111101,,125,Unpredictable spirituality - wild mysticism,OduIfa,,,125,,Chaos spirituality,
1111110,,126,Spiritual evolution - mystical growth,OduIfa,,,126,,Spiritual evolution,
1111111,,127,Ultimate spirituality - pure mysticism,OduIfa,,,127,,Ultimate mysticism,
10000000,,128,Divine endings - sacred completion,OduIfa,,,128,,Closing ceremonies,
10000001,,129,Occult endings - mystery completion,OduIfa,,,129,,Occult closure,
10000010,,130,Journey ending - destination reached,OduIfa,,,130,,Journey completion,
10000011,,131,War ending - peace achieved,OduIfa,,,131,,Peace treaties,
10000100,,132,Material completion - harvest complete,OduIfa,,,132,,Harvest end,
10000101,,133,Order from chaos - entropy resolved,OduIfa,,,133,,Order restoration,
10000110,,134,Transformation complete - new form stabilized,OduIfa,,,134,,Form stabilization,
10000111,,135,Prosperity cycle complete - abundance secured,OduIfa,,,135,,Prosperity end,
10001000,,136,Combat ending - peace for warrior,OduIfa,,,136,,Warrior rest,
10001001,,137,Historical cycle complete - era ending,OduIfa,,,137,,Era end,
10001010,,138,Network completion - connections secured,OduIfa,,,138,,Network secured,
10001011,,139,Current ending - flow stabilized,OduIfa,,,139,,Flow stabilization,
10001100,,140,Passion cooling - desire satisfied,OduIfa,,,140,,Passion satisfied,
10001101,,141,Stress relieved - burden lifted,OduIfa,,,141,,Stress relief,
10001110,,142,Triumph complete - victory secured,OduIfa,,,142,,Victory secured,
10001111,,143,Spiritual completion - enlightenment achieved,OduIfa,,,143,,Enlightenment achieved,
10010000,,144,Divine passion - sacred fire,OduIfa,,,144,,Sacred fire,
10010001,,145,Occult fire - hidden passion,OduIfa,,,145,,Occult fire,
10010010,,146,Passionate journey - fiery quest,OduIfa,,,146,,Fiery quest,
10010011,,147,Intense warfare - burning battles,OduIfa,,,147,,Burning battles,
10010100,,148,Material passion - fiery acquisition,OduIfa,,,148,,Fiery acquisition,
10010101,,149,Wild fire - chaotic passion,OduIfa,,,149,,Wild fire,
10010110,,150,Passionate transformation - burning evolution,OduIfa,,,150,,Burning evolution,
10010111,,151,Lucky passion - fortunate fire,OduIfa,,,151,,Fortunate fire,
10011000,,152,Passionate warfare - burning combat,OduIfa,,,152,,Burning combat,
10011001,,153,Urgent time - burning deadlines,OduIfa,,,153,,Burning deadlines,
10011010,,154,Passionate connections - burning networks,OduIfa,,,154,,Burning networks,
10011011,,155,Passionate currents - burning flows,OduIfa,,,155,,Burning flows,
10011100,,156,Maximum passion - burning intensity,OduIfa,,,156,,Maximum intensity,
10011101,,157,Intense stress - burning pressure,OduIfa,,,157,,Burning pressure,
10011110,,158,Passionate triumph - burning victory,OduIfa,,,158,,Burning victory,
10011111,,159,Ecstatic spirituality - burning faith,OduIfa,,,159,,Burning faith,
10100000,,160,Divine pressure - sacred burden,OduIfa,,,160,,Sacred burden,
10100001,,161,Hidden stress - occult pressure,OduIfa,,,161,,Occult pressure,
10100010,,162,Difficult journey - pressured path,OduIfa,,,162,,Pressured path,
10100011,,163,Pressured warfare - stressed combat,OduIfa,,,163,,Stressed combat,
10100100,,164,Economic pressure - material stress,OduIfa,,,164,,Economic stress,
10100101,,165,Chaotic pressure - random stress,OduIfa,,,165,,Chaotic stress,
10100110,,166,Transformation stress - evolutionary pressure,OduIfa,,,166,,Evolution pressure,
10100111,,167,Lucky pressure - beneficial stress,OduIfa,,,167,,Beneficial stress,
10101000,,168,Combat pressure - battle stress,OduIfa,,,168,,Battle stress,
10101001,,169,Deadline pressure - temporal stress,OduIfa,,,169,,Deadline stress,
10101010,,170,Network pressure - connection stress,OduIfa,,,170,,Connection stress,
10101011,,171,Current pressure - flow stress,OduIfa,,,171,,Flow stress,
10101100,,172,Passionate pressure - burning stress,OduIfa,,,172,,Burning stress,
10101101,,173,Maximum stress - extreme burden,OduIfa,,,173,,Maximum stress,
10101110,,174,Triumphant pressure - winning stress,OduIfa,,,174,,Winning stress,
10101111,,175,Spiritual pressure - mystical stress,OduIfa,,,175,,Mystical stress,
10110000,,176,Divine victory - sacred success,OduIfa,,,176,,Sacred success,
10110001,,177,Occult victory - hidden success,OduIfa,,,177,,Occult success,
10110010,,178,Journey victory - quest success,OduIfa,,,178,,Quest success,
10110011,,179,Battle victory - war success,OduIfa,,,179,,War success,
10110100,,180,Material victory - economic success,OduIfa,,,180,,Economic success,
10110101,,181,Unexpected victory - chaos success,OduIfa,,,181,,Chaos success,
10110110,,182,Transformation victory - evolutionary success,OduIfa,,,182,,Evolution success,
10110111,,183,Lucky victory - fortunate success,OduIfa,,,183,,Fortunate success,
10111000,,184,Combat victory - military success,OduIfa,,,184,,Military success,
10111001,,185,Historical victory - temporal success,OduIfa,,,185,,Historical success,
10111010,,186,Network victory - connection success,OduIfa,,,186,,Connection success,
10111011,,187,Current victory - flow success,OduIfa,,,187,,Flow success,
10111100,,188,Passionate victory - burning success,OduIfa,,,188,,Burning success,
10111101,,189,Stressed victory - burdened success,OduIfa,,,189,,Stressed success,
10111110,,190,Maximum triumph - ultimate success,OduIfa,,,190,,Ultimate success,
10111111,,191,Spiritual victory - mystical success,OduIfa,,,191,,Mystical success,
11000000,,192,Divine spirituality - sacred mysticism,OduIfa,,,192,,Sacred mysticism,
11000001,,193,Occult spirituality - hidden mysticism,OduIfa,,,193,,Occult mysticism,
11000010,,194,Spiritual journey - mystical quest,OduIfa,,,194,,Mystical quest,
11000011,,195,Spiritual warfare - holy combat,OduIfa,,,195,,Holy combat,
11000100,,196,Grounded spirituality - material mysticism,OduIfa,,,196,,Material mysticism,
11000101,,197,Ecstatic spirituality - wild mysticism,OduIfa,,,197,,Wild mysticism,
11000110,,198,Spiritual evolution - mystical transformation,OduIfa,,,198,,Mystical evolution,
11000111,,199,Lucky spirituality - fortunate mysticism,OduIfa,,,199,,Fortunate mysticism,
11001000,,200,Spiritual warfare - holy combat,OduIfa,,,200,,Holy combat,
11001001,,201,Historical spirituality - temporal mysticism,OduIfa,,,201,,Temporal mysticism,
11001010,,202,Spiritual networks - mystical connections,OduIfa,,,202,,Mystical connections,
11001011,,203,Spiritual currents - mystical flows,OduIfa,,,203,,Mystical flows,
11001100,,204,Passionate spirituality - burning faith,OduIfa,,,204,,Burning faith,
11001101,,205,Stressed spirituality - burdened faith,OduIfa,,,205,,Burdened faith,
11001110,,206,Triumphant spirituality - victorious faith,OduIfa,,,206,,Victorious faith,
11001111,,207,Ultimate spirituality - complete mysticism,OduIfa,,,207,,Complete mysticism,
11010000,,208,Divine warfare - holy combat,OduIfa,,,208,,Holy warfare,
11010001,,209,Occult warfare - hidden combat,OduIfa,,,209,,Occult combat,
11010010,,210,Journey warfare - quest combat,OduIfa,,,210,,Quest combat,
11010011,,211,Maximum warfare - ultimate combat,OduIfa,,,211,,Ultimate warfare,
11010100,,212,Material warfare - economic combat,OduIfa,,,212,,Economic warfare,
11010101,,213,Chaotic warfare - random combat,OduIfa,,,213,,Chaotic combat,
11010110,,214,Transformative warfare - evolutionary combat,OduIfa,,,214,,Evolution warfare,
11010111,,215,Lucky warfare - fortunate combat,OduIfa,,,215,,Fortunate combat,
11011000,,216,Maximum combat - ultimate warfare,OduIfa,,,216,,Ultimate combat,
11011001,,217,Historical warfare - temporal combat,OduIfa,,,217,,Temporal warfare,
11011010,,218,Network warfare - connection combat,OduIfa,,,218,,Network combat,
11011011,,219,Current warfare - flow combat,OduIfa,,,219,,Flow combat,
11011100,,220,Passionate warfare - burning combat,OduIfa,,,220,,Burning combat,
11011101,,221,Stressed warfare - burdened combat,OduIfa,,,221,,Stressed combat,
11011110,,222,Triumphant warfare - victorious combat,OduIfa,,,222,,Victorious combat,
11011111,,223,Spiritual warfare - mystical combat,OduIfa,,,223,,Mystical combat,
11100000,,224,Divine networks - sacred connections,OduIfa,,,224,,Sacred connections,
11100001,,225,Occult networks - hidden connections,OduIfa,,,225,,Occult connections,
11100010,,226,Journey networks - quest connections,OduIfa,,,226,,Quest connections,
11100011,,227,War alliances - battle networks,OduIfa,,,227,,War alliances,
11100100,,228,Economic networks - material connections,OduIfa,,,228,,Economic connections,
11100101,,229,Chaotic networks - random connections,OduIfa,,,229,,Chaotic connections,
11100110,,230,Transformative networks - evolutionary connections,OduIfa,,,230,,Evolution connections,
11100111,,231,Lucky networks - fortunate connections,OduIfa,,,231,,Fortunate connections,
11101000,,232,Military alliances - combat networks,OduIfa,,,232,,Military alliances,
11101001,,233,Historical networks - temporal connections,OduIfa,,,233,,Temporal connections,
11101010,,234,Maximum networks - ultimate connections,OduIfa,,,234,,Ultimate connections,
11101011,,235,Current networks - flow connections,OduIfa,,,235,,Flow connections,
11101100,,236,Passionate networks - burning connections,OduIfa,,,236,,Burning connections,
11101101,,237,Stressed networks - burdened connections,OduIfa,,,237,,Stressed connections,
11101110,,238,Triumphant networks - victorious connections,OduIfa,,,238,,Victorious connections,
11101111,,239,Spiritual networks - mystical connections,OduIfa,,,239,,Mystical connections,
11110000,,240,Divine currents - sacred flows,OduIfa,,,240,,Sacred flows,
11110001,,241,Occult currents - hidden flows,OduIfa,,,241,,Occult flows,
11110010,,242,Journey currents - quest flows,OduIfa,,,242,,Quest flows,
11110011,,243,War currents - battle flows,OduIfa,,,243,,War flows,
11110100,,244,Economic currents - material flows,OduIfa,,,244,,Economic flows,
11110101,,245,Chaotic currents - random flows,OduIfa,,,245,,Chaotic flows,
11110110,,246,Transformative currents - evolutionary flows,OduIfa,,,246,,Evolution flows,
11110111,,247,Lucky currents - fortunate flows,OduIfa,,,247,,Fortunate flows,
11111000,,248,Military currents - combat flows,OduIfa,,,248,,Military flows,
11111001,,249,Historical currents - temporal flows,OduIfa,,,249,,Temporal flows,
11111010,,250,Network currents - connection flows,OduIfa,,,250,,Connection flows,
11111011,,251,Maximum currents - ultimate flows,OduIfa,,,251,,Ultimate flows,
11111100,,252,Passionate currents - burning flows,OduIfa,,,252,,Burning flows,
11111101,,253,Stressed currents - burdened flows,OduIfa,,,253,,Stressed flows,
11111110,,254,Triumphant currents - victorious flows,OduIfa,,,254,,Victorious flows,
11111111,,255,Ultimate ending - absolute completion,OduIfa,,,255,,Absolute completion,
00000000,Questions of origin and destiny,654,Foundation and pure beginnings - divine order manifesting,OduIfa:SoulLayer,Double Light,Eji Ogbe,0,"['creation', 'order', 'divinity']",New moon ceremonies,Purity and infinite potential
00000001,Life transitions and mortality,655,Transformation through duality - birth and death cycle,OduIfa:SoulLayer,Light Meets Darkness,Ogbe-Oyeku,1,"['duality', 'transformation', 'cycles']",Eclipse rituals,Change and necessary transition
00000010,Overcoming difficulties,656,Challenges revealing character - obstacles as teachers,OduIfa:SoulLayer,Light Tests Path,Ogbe-Iwori,2,"['testing', 'growth', 'character']",Initiation rites,Strength through adversity
00000011,Disputes and decisions,657,Struggle between opposing forces - choosing sides,OduIfa:SoulLayer,Light In Conflict,Ogbe-Odi,3,"['conflict', 'choice', 'balance']",Dispute resolution,Conflict and choice
00000100,Material success questions,658,Manifestation of divine will on earthly plane,OduIfa:SoulLayer,Light Awakens Earth,Ogbe-Irosun,4,"['manifestation', 'abundance', 'will']",Harvest festivals,Divine will made manifest
00000101,Unpredictable situations,659,Order confronting entropy - structure vs randomness,OduIfa:SoulLayer,Light Faces Chaos,Ogbe-Owonrin,5,"['chaos', 'uncertainty', 'adaptation']",Storm preparation,Chaos and uncertainty
00000110,Personal evolution,660,Metamorphosis and rebirth - shedding old forms,OduIfa:SoulLayer,Light Transforms,Ogbe-Obara,6,"['transformation', 'renewal', 'growth']",Coming-of-age ceremonies,Transformation and renewal
00000111,Wealth and success inquiries,661,Abundance through right action - karmic rewards,OduIfa:SoulLayer,Light Brings Fortune,Ogbe-Okonron,7,"['prosperity', 'karma', 'reward']",Blessing ceremonies,Good fortune and prosperity
00001000,Seeking knowledge,662,Movement from ignorance to wisdom,OduIfa:SoulLayer,Darkness Seeks Light,Oyeku-Ogbe,8,"['ignorance', 'wisdom', 'seeking']",Dawn ceremonies,Enlightenment journey
