binary_pattern,divination_use,id,interpretation,labels,name_english,name_yoruba,odu_number,related_themes,ritual_context,symbolic_meaning
00001001,Communication with dead,663,Deep mysteries and the unknown - ancestral realm,OduIfa:SoulLayer,Double Darkness,Oyeku-Meji,9,"['mystery', 'ancestors', 'occult']",Ancestral veneration,Mystery and the occult
00001010,Uncovering hidden issues,664,Hidden obstacles - what cannot yet be seen,OduIfa:SoulLayer,Darkness On Path,Oyeku-Iwori,10,"['hidden', 'danger', 'revelation']",Divination for dangers,Hidden threats
00001011,Psychological challenges,665,Internal conflict - battling inner demons,OduIfa:SoulLayer,Darkness In Strife,Oyeku-Odi,11,"['internal', 'conflict', 'demons']",Spiritual warfare,Internal struggle
00001100,Uncovering truth,666,Manifestation of hidden things - secrets revealed,OduIfa:SoulLayer,Darkness Grounds,Oyeku-Irosun,12,"['secrets', 'revelation', 'truth']",Truth ceremonies,Revelation of secrets
00001101,Unclear situations,667,Confusion and disorientation - loss of bearings,OduIfa:SoulLayer,Darkness Churns,Oyeku-Owonrin,13,"['confusion', 'misdirection', 'protection']",Protection rituals,Confusion and misdirection
00001110,Deep spiritual change,668,Transformation in the unseen realm,OduIfa:SoulLayer,Darkness Changes Form,Oyeku-Obara,14,"['shadow', 'occult', 'transformation']",Shadow work,Occult transformation
00001111,Finding hidden resources,669,Hidden resources - treasures in shadow,OduIfa:SoulLayer,Darkness Conceals Wealth,Oyeku-Okonron,15,"['hidden', 'resources', 'treasure']",Treasure seeking,Hidden abundance
00010000,Spiritual journey questions,670,Journey toward understanding and clarity,OduIfa:SoulLayer,Path To Light,Iwori-Ogbe,16,"['journey', 'quest', 'enlightenment']",Pilgrimage,Quest for enlightenment
00010001,Travel and danger,671,Dangerous journey - navigating peril,OduIfa:SoulLayer,Path Through Shadow,Iwori-Oyeku,17,"['danger', 'travel', 'protection']",Protection during travel,Perilous journey
00010010,Major life decisions,672,Choices and crossroads - fork in the road,OduIfa:SoulLayer,Double Path,Iwori-Meji,18,"['choice', 'crossroads', 'decision']",Decision ceremonies,Critical choice point
00010011,Martial challenges,673,Journey through strife - warrior's road,OduIfa:SoulLayer,Path Of Conflict,Iwori-Odi,19,"['warrior', 'combat', 'strife']",Warrior initiation,Combative path
00010100,Career and work path,674,Journey to material success - effort rewarded,OduIfa:SoulLayer,Path Of Manifestation,Iwori-Irosun,20,"['career', 'effort', 'success']",Trade journeys,Productive journey
00010101,Unpredictable situations,675,Unpredictable journey - expect the unexpected,OduIfa:SoulLayer,Path Of Chaos,Iwori-Owonrin,21,"['chaos', 'uncertainty', 'adaptation']",Chaos navigation,Uncertain path
00010110,Personal evolution path,676,Journey of transformation - becoming,OduIfa:SoulLayer,Path Of Change,Iwori-Obara,22,"['transformation', 'passage', 'becoming']",Rites of passage,Transformative journey
00010111,Profitable ventures,677,Lucky journey - favorable winds,OduIfa:SoulLayer,Path Of Fortune,Iwori-Okonron,23,"['fortune', 'luck', 'profit']",Blessing travels,Fortunate path
00011000,Ending disputes,678,Strife moving toward peace,OduIfa:SoulLayer,Conflict Seeks Resolution,Odi-Ogbe,24,"['peace', 'resolution', 'ending']",Peace ceremonies,Conflict resolution
00011001,Hidden enemies,679,Hidden warfare - unseen battles,OduIfa:SoulLayer,Conflict In Darkness,Odi-Oyeku,25,"['hidden', 'enemies', 'warfare']",Spiritual protection,Occult conflict
00011010,Removing impediments,680,Obstacles blocking progress,OduIfa:SoulLayer,Conflict On Path,Odi-Iwori,26,"['obstacles', 'barriers', 'removal']",Obstacle removal,Barriers and blocks
00011011,Overwhelming conflict,681,Intense struggle - war on all sides,OduIfa:SoulLayer,Double Conflict,Odi-Meji,27,"['war', 'struggle', 'intensity']",Battle preparation,Total war
00011100,Property disputes,682,争夺物质 - competition for wealth,OduIfa:SoulLayer,Conflict Over Resources,Odi-Irosun,28,"['competition', 'resources', 'property']",Resource disputes,Material competition
00011101,Lawless situations,683,Unpredictable warfare - no rules,OduIfa:SoulLayer,Chaotic Conflict,Odi-Owonrin,29,"['anarchy', 'chaos', 'lawlessness']",Chaos warfare,Anarchic strife
00011110,Major upheaval,684,Struggle that changes everything,OduIfa:SoulLayer,Transformative Conflict,Odi-Obara,30,"['revolution', 'upheaval', 'change']",Revolutionary rites,Revolutionary change
00011111,Winning disputes,685,Gains through struggle - victory spoils,OduIfa:SoulLayer,Profitable Conflict,Odi-Okonron,31,"['victory', 'gains', 'winning']",Victory ceremonies,Victorious conflict
00100000,Prosperity questions,686,Divine blessing on material plane,OduIfa:SoulLayer,Earth Receives Light,Irosun-Ogbe,32,"['blessing', 'prosperity', 'divine']",Agricultural rites,Divine material blessing
00100001,Financial difficulties,687,Material loss - resources diminishing,OduIfa:SoulLayer,Earth In Shadow,Irosun-Oyeku,33,"['loss', 'decline', 'famine']",Famine preparation,Material decline
00100010,Business travel,688,Material journey - physical travel,OduIfa:SoulLayer,Earth On Path,Irosun-Iwori,34,"['trade', 'business', 'travel']",Trade routes,Material journey
00100011,Property rights,689,Property disputes - land battles,OduIfa:SoulLayer,Earth In Conflict,Irosun-Odi,35,"['property', 'land', 'territory']",Land disputes,Territorial conflict
00100100,Wealth accumulation,690,Abundance and fertility - harvest time,OduIfa:SoulLayer,Double Earth,Irosun-Meji,36,"['abundance', 'fertility', 'wealth']",Harvest festivals,Material abundance
00100101,Economic instability,691,Unpredictable material conditions,OduIfa:SoulLayer,Chaotic Earth,Irosun-Owonrin,37,"['uncertainty', 'disaster', 'instability']",Disaster preparation,Material uncertainty
00100110,Career changes,692,Material transformation - alchemy,OduIfa:SoulLayer,Transforming Earth,Irosun-Obara,38,"['alchemy', 'craft', 'change']",Craft ceremonies,Material transformation
00100111,Business success,693,Material blessings - prosperity,OduIfa:SoulLayer,Fortunate Earth,Irosun-Okonron,39,"['fortune', 'wealth', 'success']",Wealth ceremonies,Material fortune
00101000,Creating structure,694,Entropy organizing - creating from chaos,OduIfa:SoulLayer,Chaos Meets Order,Owonrin-Ogbe,40,"['creation', 'order', 'emergence']",Creation from chaos,Emergent order
00101001,Crisis situations,695,Complete confusion - total disorientation,OduIfa:SoulLayer,Chaos In Darkness,Owonrin-Oyeku,41,"['confusion', 'crisis', 'disorientation']",Protection from chaos,Utter confusion
00101010,Unexpected events,696,Unpredictable journey - random events,OduIfa:SoulLayer,Chaos On Path,Owonrin-Iwori,42,"['random', 'unexpected', 'chaos']",Chaos navigation,Random journey
00101011,Anarchic situations,697,Anarchic warfare - no rules,OduIfa:SoulLayer,Chaotic Conflict,Owonrin-Odi,43,"['anarchy', 'chaos', 'lawlessness']",Chaos warfare,Lawless strife
00101100,Financial crises,698,Economic chaos - market instability,OduIfa:SoulLayer,Chaotic Material,Owonrin-Irosun,44,"['chaos', 'economy', 'crisis']",Economic protection,Material chaos
00101101,Overwhelming randomness,699,Maximum entropy - complete randomness,OduIfa:SoulLayer,Double Chaos,Owonrin-Meji,45,"['chaos', 'entropy', 'randomness']",Chaos management,Total chaos
00101110,Disruptive innovation,700,Change through disorder - creative destruction,OduIfa:SoulLayer,Chaos Transforms,Owonrin-Obara,46,"['disruption', 'innovation', 'destruction']",Revolutionary change,Transformative chaos
00101111,Unexpected blessings,701,Luck in disorder - finding order in chaos,OduIfa:SoulLayer,Fortunate Chaos,Owonrin-Okonron,47,"['opportunity', 'luck', 'chaos']",Chaos opportunity,Opportunistic chaos
00110000,Spiritual advancement,702,Transformation toward divinity,OduIfa:SoulLayer,Change Toward Light,Obara-Ogbe,48,"['evolution', 'advancement', 'divinity']",Spiritual evolution,Upward transformation
00110001,Spiritual crisis,703,Descent and dissolution - dark night of soul,OduIfa:SoulLayer,Change Into Shadow,Obara-Oyeku,49,"['descent', 'crisis', 'dissolution']",Dark night,Downward transformation
00110010,Personal evolution,704,Transforming journey - becoming different,OduIfa:SoulLayer,Change On Path,Obara-Iwori,50,"['evolution', 'journey', 'becoming']",Pilgrimage,Journey of change
00110011,Major upheaval,705,Struggle creating change,OduIfa:SoulLayer,Transformative Conflict,Obara-Odi,51,"['revolution', 'upheaval', 'transformation']",Revolutionary rites,Revolutionary transformation
00110100,Career transformation,706,Physical metamorphosis - changing form,OduIfa:SoulLayer,Material Transformation,Obara-Irosun,52,"['metamorphosis', 'change', 'career']",Shape-shifting,Material change
00110101,Unexpected changes,707,Unpredictable change - random mutation,OduIfa:SoulLayer,Chaotic Transformation,Obara-Owonrin,53,"['random', 'mutation', 'unexpected']",Chaos change,Random transformation
00110110,Complete life change,708,Complete metamorphosis - total rebirth,OduIfa:SoulLayer,Double Transformation,Obara-Meji,54,"['rebirth', 'metamorphosis', 'total']",Rebirth ceremonies,Total transformation
00110111,Beneficial evolution,709,Beneficial transformation - evolution,OduIfa:SoulLayer,Fortunate Change,Obara-Okonron,55,"['beneficial', 'positive', 'evolution']",Beneficial change,Positive transformation
00111000,Spiritual blessings,710,Divine blessings - heavenly gifts,OduIfa:SoulLayer,Fortune From Light,Okonron-Ogbe,56,"['blessings', 'divine', 'gifts']",Blessing ceremonies,Divine fortune
00111001,Unexpected benefits,711,Hidden blessings - disguised gifts,OduIfa:SoulLayer,Fortune In Shadow,Okonron-Oyeku,57,"['hidden', 'occult', 'unexpected']",Hidden blessings,Occult fortune
00111010,Successful ventures,712,Lucky journey - favorable conditions,OduIfa:SoulLayer,Fortune On Path,Okonron-Iwori,58,"['luck', 'success', 'favorable']",Fortunate travel,Lucky journey
00111011,Winning battles,713,Gains from struggle - war spoils,OduIfa:SoulLayer,Fortune Through Conflict,Okonron-Odi,59,"['victory', 'gains', 'winning']",Victory ceremonies,Victorious fortune
00111100,Financial success,714,Wealth and prosperity - abundance,OduIfa:SoulLayer,Material Fortune,Okonron-Irosun,60,"['wealth', 'prosperity', 'abundance']",Wealth ceremonies,Material abundance
00111101,Unexpected luck,715,Luck in chaos - random blessings,OduIfa:SoulLayer,Chaotic Fortune,Okonron-Owonrin,61,"['chaos', 'luck', 'random']",Chaos blessings,Random fortune
00111110,Growing prosperity,716,Blessings through change,OduIfa:SoulLayer,Transformative Fortune,Okonron-Obara,62,"['growth', 'evolution', 'prosperity']",Transformative blessings,Evolving fortune
00111111,Complete success,717,Maximum blessings - ultimate prosperity,OduIfa:SoulLayer,Double Fortune,Okonron-Meji,63,"['ultimate', 'total', 'complete']",Ultimate blessings,Total fortune
01000000,Fighting for justice,718,Military campaign for righteous cause,OduIfa:SoulLayer,Warrior Seeks Light,Ogunda-Ogbe,64,"['justice', 'war', 'righteousness']",Holy war,Sacred warfare
01000001,Secret conflicts,719,Hidden warfare - covert operations,OduIfa:SoulLayer,Warrior In Darkness,Ogunda-Oyeku,65,"['covert', 'secret', 'espionage']",Espionage,Covert warfare
01000010,Strategic movement,720,Military campaign - journey to battle,OduIfa:SoulLayer,Warrior On Path,Ogunda-Iwori,66,"['campaign', 'strategy', 'movement']",Military campaign,Warrior journey
01000011,Active warfare,721,Combat and warfare - direct confrontation,OduIfa:SoulLayer,Warrior In Conflict,Ogunda-Odi,67,"['combat', 'warfare', 'battle']",Battle,Direct combat
01000100,Economic warfare,722,Fighting for material gains,OduIfa:SoulLayer,Warrior Seeks Resources,Ogunda-Irosun,68,"['resources', 'conquest', 'economics']",Resource warfare,Material conquest
01000101,Irregular combat,723,Guerrilla warfare - irregular combat,OduIfa:SoulLayer,Warrior In Chaos,Ogunda-Owonrin,69,"['guerrilla', 'irregular', 'chaos']",Guerrilla war,Chaotic warfare
01000110,Military advancement,724,Combat evolution - martial growth,OduIfa:SoulLayer,Warrior Transforms,Ogunda-Obara,70,"['evolution', 'martial', 'advancement']",Martial evolution,Warrior transformation
01000111,Military victory,725,Victory and spoils - successful campaign,OduIfa:SoulLayer,Warrior Finds Fortune,Ogunda-Okonron,71,"['victory', 'success', 'spoils']",Victory,Successful warfare
01001000,Forward movement,726,Progress toward enlightenment,OduIfa:SoulLayer,Time Moves To Light,Osa-Ogbe,72,"['progress', 'advancement', 'forward']",Progress ceremonies,Temporal advancement
01001001,Delays and blockages,727,Stagnation and delay - stuck in time,OduIfa:SoulLayer,Time In Darkness,Osa-Oyeku,73,"['stagnation', 'delay', 'stuck']",Breaking stagnation,Temporal stasis
01001010,Historical inquiries,728,Journey through time - temporal voyage,OduIfa:SoulLayer,Time On Path,Osa-Iwori,74,"['time', 'history', 'journey']",Time travel,Temporal journey
01001011,Legacy disputes,729,Battles across time - historical conflicts,OduIfa:SoulLayer,Time In Conflict,Osa-Odi,75,"['history', 'legacy', 'temporal']",Historical warfare,Temporal conflict
01001100,Ancestral wealth,730,Historical wealth - inherited resources,OduIfa:SoulLayer,Time Manifests Material,Osa-Irosun,76,"['inheritance', 'ancestors', 'legacy']",Inheritance,Historical resources
01001101,Schedule disruptions,731,Unpredictable temporal flow - time distortions,OduIfa:SoulLayer,Chaotic Time,Osa-Owonrin,77,"['chaos', 'time', 'disruption']",Time chaos,Temporal chaos
01001110,Evolutionary change,732,Historical change - evolution over time,OduIfa:SoulLayer,Time Transforms,Osa-Obara,78,"['evolution', 'history', 'change']",Historical change,Temporal transformation
01001111,Long-term gains,733,Patience rewarded - waiting pays off,OduIfa:SoulLayer,Time Brings Fortune,Osa-Okonron,79,"['patience', 'waiting', 'gains']",Patience rewards,Temporal fortune
01010000,Building relationships,734,Connections leading to understanding,OduIfa:SoulLayer,Web Toward Light,Ika-Ogbe,80,"['connection', 'network', 'understanding']",Network building,Connective enlightenment
01010001,Hidden alliances,735,Hidden connections - occult networks,OduIfa:SoulLayer,Web In Darkness,Ika-Oyeku,81,"['secret', 'occult', 'hidden']",Secret societies,Occult networks
01010010,Social climbing,736,Journey through networks - social travel,OduIfa:SoulLayer,Web On Path,Ika-Iwori,82,"['network', 'social', 'navigation']",Social navigation,Network journey
01010011,Political struggles,737,Conflicting alliances - network warfare,OduIfa:SoulLayer,Web In Conflict,Ika-Odi,83,"['alliance', 'politics', 'conflict']",Alliance warfare,Network conflict
01010100,Business networks,738,Economic networks - trade connections,OduIfa:SoulLayer,Web Of Resources,Ika-Irosun,84,"['trade', 'economics', 'business']",Trade networks,Economic connections
01010101,Unexpected contacts,739,Unpredictable connections - random networks,OduIfa:SoulLayer,Chaotic Web,Ika-Owonrin,85,"['chaos', 'random', 'unexpected']",Chaos networks,Random connections
01010110,Evolving relationships,740,Network evolution - changing connections,OduIfa:SoulLayer,Web Transforms,Ika-Obara,86,"['evolution', 'transformation', 'relationships']",Network evolution,Transforming connections
01010111,Profitable alliances,741,Beneficial connections - lucky networks,OduIfa:SoulLayer,Fortunate Web,Ika-Okonron,87,"['beneficial', 'profitable', 'alliances']",Beneficial networks,Fortunate connections
01011000,Smooth advancement,742,Progression toward enlightenment,OduIfa:SoulLayer,Flow To Light,Oturupon-Ogbe,88,"['flow', 'progression', 'smooth']",Flow ceremonies,Progressive flow
01011001,Subterranean movements,743,Hidden currents - occult flows,OduIfa:SoulLayer,Flow In Darkness,Oturupon-Oyeku,89,"['hidden', 'occult', 'subterranean']",Hidden flows,Occult currents
01011010,River journeys,744,Flowing journey - liquid travel,OduIfa:SoulLayer,Flow On Path,Oturupon-Iwori,90,"['fluid', 'river', 'flow']",Fluid journey,Flowing path
01011011,Contradictory forces,745,Conflicting currents - opposing flows,OduIfa:SoulLayer,Flow In Conflict,Oturupon-Odi,91,"['opposing', 'contradiction', 'conflict']",Current conflict,Opposing flows
01011100,Money movement,746,Economic flow - wealth circulation,OduIfa:SoulLayer,Material Flow,Oturupon-Irosun,92,"['circulation', 'money', 'economics']",Economic flow,Material circulation
01011101,Unstable conditions,747,Turbulent currents - chaotic flows,OduIfa:SoulLayer,Chaotic Flow,Oturupon-Owonrin,93,"['chaos', 'turbulent', 'unstable']",Chaos currents,Turbulent flow
01011110,Evolving patterns,748,Evolutionary currents - changing flows,OduIfa:SoulLayer,Transforming Flow,Oturupon-Obara,94,"['evolution', 'transformation', 'patterns']",Flow transformation,Transforming currents
01011111,Favorable conditions,749,Beneficial currents - lucky flows,OduIfa:SoulLayer,Fortunate Flow,Oturupon-Okonron,95,"['beneficial', 'favorable', 'fortune']",Beneficial flow,Fortunate currents
01100000,Intense spiritual seeking,750,Passionate pursuit of enlightenment,OduIfa:SoulLayer,Fire Toward Light,Otura-Ogbe,96,"['passion', 'intensity', 'seeking']",Fire ceremonies,Passionate enlightenment
01100001,Secret desires,751,Hidden fire - occult passion,OduIfa:SoulLayer,Fire In Darkness,Otura-Oyeku,97,"['hidden', 'passion', 'secret']",Hidden fire,Occult passion
01100010,Intense quest,752,Passionate journey - burning desire,OduIfa:SoulLayer,Fire On Path,Otura-Iwori,98,"['passion', 'desire', 'quest']",Passionate journey,Fiery path
01100011,Intense battles,753,Passionate warfare - burning conflict,OduIfa:SoulLayer,Fire In Conflict,Otura-Odi,99,"['passion', 'intensity', 'warfare']",Passionate warfare,Fiery conflict
01100100,Intense ambition,754,Passionate acquisition - burning desire for wealth,OduIfa:SoulLayer,Material Fire,Otura-Irosun,100,"['passion', 'ambition', 'wealth']",Passionate acquisition,Fiery materialism
01100101,Uncontrolled desire,755,Unpredictable passion - wild fire,OduIfa:SoulLayer,Chaotic Fire,Otura-Owonrin,101,"['chaos', 'wild', 'uncontrolled']",Chaos fire,Wild passion
01100110,Intense evolution,756,Passionate transformation - burning change,OduIfa:SoulLayer,Transforming Fire,Otura-Obara,102,"['transformation', 'passion', 'evolution']",Fire transformation,Transformative passion
01100111,Beneficial intensity,757,Lucky passion - beneficial desire,OduIfa:SoulLayer,Fortunate Fire,Otura-Okonron,103,"['fortune', 'passion', 'beneficial']",Fortunate passion,Lucky fire
01101000,Growth through stress,758,Stress leading to enlightenment,OduIfa:SoulLayer,Pressure Toward Light,Irete-Ogbe,104,"['pressure', 'stress', 'growth']",Pressure ceremonies,Pressurized enlightenment
01101001,Secret burdens,759,Hidden stress - occult pressure,OduIfa:SoulLayer,Pressure In Darkness,Irete-Oyeku,105,"['hidden', 'stress', 'secret']",Hidden pressure,Occult stress
01101010,Difficult journey,760,Stressful journey - pressure travel,OduIfa:SoulLayer,Pressure On Path,Irete-Iwori,106,"['pressure', 'stress', 'difficulty']",Pressure journey,Stressful path
01101011,High-stress battles,761,Intense warfare - pressure warfare,OduIfa:SoulLayer,Pressure In Conflict,Irete-Odi,107,"['pressure', 'intensity', 'warfare']",Pressure warfare,Intense conflict
01101100,Material burdens,762,Economic stress - financial pressure,OduIfa:SoulLayer,Material Pressure,Irete-Irosun,108,"['pressure', 'stress', 'economics']",Economic pressure,Financial stress
01101101,Unexpected burdens,763,Unpredictable stress - chaos pressure,OduIfa:SoulLayer,Chaotic Pressure,Irete-Owonrin,109,"['chaos', 'stress', 'unexpected']",Chaos pressure,Random stress
01101110,Change through burden,764,Stress-induced change - pressure transformation,OduIfa:SoulLayer,Transforming Pressure,Irete-Obara,110,"['transformation', 'stress', 'change']",Pressure transformation,Stress evolution
01101111,Productive burden,765,Beneficial stress - lucky pressure,OduIfa:SoulLayer,Fortunate Pressure,Irete-Okonron,111,"['fortune', 'stress', 'productive']",Fortunate pressure,Beneficial stress
01110000,Winning spiritually,766,Triumph leading to enlightenment,OduIfa:SoulLayer,Victory Toward Light,Ose-Ogbe,112,"['victory', 'triumph', 'spiritual']",Victory ceremonies,Victorious enlightenment
01110001,Secret wins,767,Hidden triumph - occult victory,OduIfa:SoulLayer,Victory In Darkness,Ose-Oyeku,113,"['hidden', 'triumph', 'secret']",Hidden victory,Occult triumph
01110010,Successful quest,768,Triumphant journey - winning path,OduIfa:SoulLayer,Victory On Path,Ose-Iwori,114,"['victory', 'success', 'quest']",Victory journey,Triumphant path
01110011,Military success,769,Winning warfare - battle triumph,OduIfa:SoulLayer,Victory In Conflict,Ose-Odi,115,"['victory', 'warfare', 'success']",Battle victory,Triumphant warfare
01110100,Business success,770,Economic triumph - financial success,OduIfa:SoulLayer,Material Victory,Ose-Irosun,116,"['victory', 'success', 'business']",Economic victory,Material triumph
01110101,Unexpected wins,771,Unexpected triumph - chaos victory,OduIfa:SoulLayer,Chaotic Victory,Ose-Owonrin,117,"['chaos', 'unexpected', 'triumph']",Chaos victory,Random triumph
01110110,Winning change,772,Evolutionary triumph - victory transformation,OduIfa:SoulLayer,Transforming Victory,Ose-Obara,118,"['victory', 'evolution', 'transformation']",Victory transformation,Triumphant evolution
01110111,Total success,773,Lucky triumph - maximum victory,OduIfa:SoulLayer,Fortunate Victory,Ose-Okonron,119,"['ultimate', 'complete', 'total']",Ultimate victory,Complete triumph
01111000,Divine communion,774,Spiritual ascension - divine connection,OduIfa:SoulLayer,Spirit To Light,Ofun-Ogbe,120,"['spirit', 'ascension', 'divine']",Ascension ceremonies,Spiritual enlightenment
01111001,Shadow spirituality,775,Occult spirituality - dark mysticism,OduIfa:SoulLayer,Spirit In Darkness,Ofun-Oyeku,121,"['occult', 'mysticism', 'shadow']",Dark mysticism,Occult spirit
01111010,Seeking divinity,776,Spiritual journey - quest for meaning,OduIfa:SoulLayer,Spirit On Path,Ofun-Iwori,122,"['spiritual', 'quest', 'mystical']",Spiritual quest,Mystical journey
01111011,Battling demons,777,Spiritual warfare - fighting evil,OduIfa:SoulLayer,Spirit In Conflict,Ofun-Odi,123,"['spiritual', 'warfare', 'demons']",Spiritual warfare,Holy conflict
01111100,Practical faith,778,Earthly spirituality - grounded mysticism,OduIfa:SoulLayer,Material Spirit,Ofun-Irosun,124,"['grounded', 'practical', 'faith']",Grounded spirituality,Material mysticism
01111101,Ecstatic faith,779,Unpredictable spirituality - wild mysticism,OduIfa:SoulLayer,Chaotic Spirit,Ofun-Owonrin,125,"['chaos', 'ecstatic', 'wild']",Chaos spirituality,Wild mysticism
01111110,Evolving faith,780,Spiritual evolution - mystical growth,OduIfa:SoulLayer,Transforming Spirit,Ofun-Obara,126,"['evolution', 'transformation', 'mystical']",Spiritual evolution,Mystical transformation
01111111,Total enlightenment,781,Ultimate spirituality - pure mysticism,OduIfa:SoulLayer,Double Spirit,Ofun-Meji,127,"['ultimate', 'complete', 'total']",Ultimate mysticism,Complete spirit
10000000,Sacred endings,782,Divine endings - sacred completion,OduIfa:SoulLayer,Light Closes,Ogbe-Sa,128,"['divine', 'closure', 'endings']",Closing ceremonies,Divine closure
