associated_governance,core_principle,ethical_guidance,id,labels,manifestation,name,origin_country,origin_region,related_proverbs
,I am because we are - collective humanity and interdependence,Act with compassion; prioritize community wellbeing; seek consensus,256,Philosophy,Community care|restorative justice|collective decision-making,,,,
,Interconnectedness of all things - web of relationships,Honor all relationships; recognize interdependence; maintain balance,257,Philosophy,Extended family systems|communal land ownership|mutual obligation,,,,
,Familyhood and collective cooperation - African socialism,Share resources; work collectively; build communal prosperity,258,Philosophy,Cooperative economics|collective farming|shared resources,,,,
,Learn from the past to build the future - historical wisdom,Honor ancestors; learn from history; carry wisdom forward,259,Philosophy,Cultural preservation|intergenerational knowledge transfer|ancestor veneration,,,,
,Truth|balance|order|harmony|justice - cosmic equilibrium,Speak truth; maintain balance; act with justice; honor divine order,260,Philosophy,Fair judgment|balanced governance|truthful speech|righteous action,,,,
,Vital force present in all beings - life energy,Increase life force; connect with ancestors; honor spiritual energy,261,Philosophy,Spiritual interconnection|vitality transfer|ancestral power flow,,,,
,Personhood and moral integrity - becoming fully human,Build good character; act with integrity; respect others,262,Philosophy,Character development|moral education|community accountability,,,,
,People first - service to community above self,Put people first; serve community; lead with humility,263,Philosophy,Public service|community welfare|servant leadership,,,,
,Pulling together - collective self-help and mutual assistance,Work together; help each other; build collectively,264,Philosophy,Community projects|cooperative labor|mutual aid,,,,
,Extended familyhood - beyond blood relations,Welcome strangers; share resources; extend family bonds,265,Philosophy,Communal living|hospitality|mutual support,,,,
,Purpose and collective vocation - community mission,Define purpose; work toward collective goals; serve community vision,266,Philosophy,Goal-setting|collective planning|purposeful action,,,,
,Self-determination and autonomy - defining oneself,Define yourself; determine your path; claim autonomy,267,Philosophy,Cultural identity|self-naming|autonomous governance,,,,
,Unity and togetherness - collective solidarity,Unite for common cause; build solidarity; work together,268,Philosophy,Pan-African solidarity|unified action|common cause,,,,
,Collective work and responsibility - shared burden,Share burdens; work together; take collective responsibility,269,Philosophy,Community projects|mutual responsibility|collective labor,,,,
,Community purpose - collective vision and goals,Align individual goals with community; serve collective vision,270,Philosophy,Village planning|community development|shared objectives,,,,
,Generative power of the word - creative speech,Speak with care; honor your word; create through speech,271,Philosophy,Oral tradition|verbal contracts|spoken agreements,,,,
,Cosmic justice and balance - universal order,Maintain cosmic order; judge fairly; seek truth,272,Philosophy,Temple law|judicial balance|cosmic alignment,,,,
,Creativity and innovation - building legacy,Create beauty; innovate solutions; leave legacy,273,Philosophy,Artistic creation|innovation|cultural production,,,,
,Faith in community - belief in collective potential,Have faith in people; believe in community; trust collective wisdom,274,Philosophy,Collective confidence|spiritual grounding|community trust,,,,
,Priority of community over individual - collective wellbeing,Prioritize community; share resources; decide collectively,275,Philosophy,Shared ownership|collective decision-making|community priority,,,,
,Extended dialogue and consensus - thorough discussion,Discuss thoroughly; seek consensus; hear all voices,276,Philosophy,Palaver trees|extended debate|consensus-building,,,,
,Spiritual power and influence - sacred energy,Use power wisely; honor spiritual forces; channel energy,277,Philosophy,Spiritual objects|power concentration|energy manipulation,,,,
,Sacred authority and ancestral connection - throne of power,Honor ancestors; respect authority; maintain tradition,278,Philosophy,Stool ceremonies|ancestral authority|royal lineage,,,,
,Divine duality - cosmic balance of opposites,Honor duality; seek balance; embrace complementarity,279,Philosophy,Dual divinity|complementary opposites|cosmic balance,,,,
,Divine order and natural law - cosmic harmony,Follow natural law; honor cycles; maintain harmony,280,Philosophy,Four market days|cosmic cycles|natural law,,,,
,Divine forces and spiritual principles - sacred powers,Honor spiritual forces; worship properly; seek divine guidance,281,Philosophy,Orisha worship|spiritual forces|divine intermediaries,,,,
,Spiritual forces and divine mysteries - sacred power,Respect spiritual forces; honor mysteries; channel divinity,282,Philosophy,Vodun worship|spiritual possession|divine communication,,,,
Ubuntu councils|Community courts,I am because we are - collective humanity and interdependence,Act with compassion; prioritize community wellbeing; seek consensus,910,SoulLayer:Philosophy,Community care|restorative justice|collective decision-making,Ubuntu,South Africa,Southern Africa,Umuntu ngumuntu ngabantu (A person is a person through other people)
Dare council|Clan assemblies,Interconnectedness of all things - web of relationships,Honor all relationships; recognize interdependence; maintain balance,911,SoulLayer:Philosophy,Extended family systems|communal land ownership|mutual obligation,Ukama,Zimbabwe,Southern Africa,Ukama igasva hunozadziswa nekudya (Kinship is never complete without sharing food)
Village cooperatives|Collective councils,Familyhood and collective cooperation - African socialism,Share resources; work collectively; build communal prosperity,912,SoulLayer:Philosophy,Cooperative economics|collective farming|shared resources,Ujamaa,Tanzania,East Africa,Haba na haba hujaza kibaba (Little by little fills the measure)
Council of Elders|Traditional authorities,Learn from the past to build the future - historical wisdom,Honor ancestors; learn from history; carry wisdom forward,913,SoulLayer:Philosophy,Cultural preservation|intergenerational knowledge transfer|ancestor veneration,Sankofa,Ghana,West Africa,Se wo were fi na wosankofa a yenkyi (It is not taboo to go back and fetch what you forgot)
Pharaonic courts|Priestly councils,Truth|balance|order|harmony|justice - cosmic equilibrium,Speak truth; maintain balance; act with justice; honor divine order,914,SoulLayer:Philosophy,Fair judgment|balanced governance|truthful speech|righteous action,Ma'at,Egypt,North Africa,The heart must be lighter than the feather of Ma'at
Ancestral councils|Spirit mediums,Vital force present in all beings - life energy,Increase life force; connect with ancestors; honor spiritual energy,915,SoulLayer:Philosophy,Spiritual interconnection|vitality transfer|ancestral power flow,Ntu,Central Africa,Central Africa,Muntu ke muntu ka batho (A person is a person through people)
Traditional courts|Moral councils,Personhood and moral integrity - becoming fully human,Build good character; act with integrity; respect others,916,SoulLayer:Philosophy,Character development|moral education|community accountability,Hunhu/Unhu,Zimbabwe,Southern Africa,Munhu munhu nevanhu (A person is a person through others)
Service councils|Community forums,People first - service to community above self,Put people first; serve community; lead with humility,917,SoulLayer:Philosophy,Public service|community welfare|servant leadership,Batho Pele,South Africa,Southern Africa,Umntu akalahlwa (A person is not thrown away)
Age-grade systems|Community committees,Pulling together - collective self-help and mutual assistance,Work together; help each other; build collectively,918,SoulLayer:Philosophy,Community projects|cooperative labor|mutual aid,Harambee,Kenya,East Africa,Watu wawili wanapopigana ziumiazo ni nyasi (When two elephants fight the grass suffers)
Clan councils|Community elders,Extended familyhood - beyond blood relations,Welcome strangers; share resources; extend family bonds,919,SoulLayer:Philosophy,Communal living|hospitality|mutual support,Ujaama,East Africa (Swahili),East Africa,Mgeni njoo mwenyeji apone (Welcome the guest so the host may prosper)
Purpose councils|Planning committees,Purpose and collective vocation - community mission,Define purpose; work toward collective goals; serve community vision,920,SoulLayer:Philosophy,Goal-setting|collective planning|purposeful action,Nia,Pan-African (Kwanzaa),Pan-African,Kazi bila nia ni mauti (Work without purpose is death)
Self-governance bodies|Cultural councils,Self-determination and autonomy - defining oneself,Define yourself; determine your path; claim autonomy,921,SoulLayer:Philosophy,Cultural identity|self-naming|autonomous governance,Kujichagulia,Pan-African (Kwanzaa),Pan-African,Jina lako ni mali yako (Your name is your wealth)
Unity councils|Pan-African forums,Unity and togetherness - collective solidarity,Unite for common cause; build solidarity; work together,922,SoulLayer:Philosophy,Pan-African solidarity|unified action|common cause,Umoja,Pan-African (Kwanzaa),Pan-African,Umoja ni nguvu utengano ni udhaifu (Unity is strength division is weakness)
Work committees|Community projects,Collective work and responsibility - shared burden,Share burdens; work together; take collective responsibility,923,SoulLayer:Philosophy,Community projects|mutual responsibility|collective labor,Ujima,Pan-African (Kwanzaa),Pan-African,Haba na haba hujaza kibaba (Little by little fills the measure)
Planning councils|Development committees,Community purpose - collective vision and goals,Align individual goals with community; serve collective vision,924,SoulLayer:Philosophy,Village planning|community development|shared objectives,Nia ya Jamii,East Africa,East Africa,Kidole kimoja hakivunji chawa (One finger cannot crush a louse)
Speaking councils|Verbal tribunals,Generative power of the word - creative speech,Speak with care; honor your word; create through speech,925,SoulLayer:Philosophy,Oral tradition|verbal contracts|spoken agreements,Nommo,West Africa (Dogon),West Africa,Neno ni fedha kimya ni dhahabu (Speech is silver silence is golden)
Temple courts|Divine councils,Cosmic justice and balance - universal order,Maintain cosmic order; judge fairly; seek truth,926,SoulLayer:Philosophy,Temple law|judicial balance|cosmic alignment,Maat,Ancient Egypt,North Africa,Ma'at is the food of the gods
Creative councils|Innovation forums,Creativity and innovation - building legacy,Create beauty; innovate solutions; leave legacy,927,SoulLayer:Philosophy,Artistic creation|innovation|cultural production,Kuumba,Pan-African (Kwanzaa),Pan-African,Mti ukigwa huegemea mti (When a tree falls it leans on another)
Faith councils|Spiritual forums,Faith in community - belief in collective potential,Have faith in people; believe in community; trust collective wisdom,928,SoulLayer:Philosophy,Collective confidence|spiritual grounding|community trust,Imani,Pan-African (Kwanzaa),Pan-African,Imani ni utajiri (Faith is wealth)
Community councils|Collective bodies,Priority of community over individual - collective wellbeing,Prioritize community; share resources; decide collectively,929,SoulLayer:Philosophy,Shared ownership|collective decision-making|community priority,Communalism,Pan-African,Pan-African,Moja kwa moja ni riziki ya Mungu (One by one is God's provision)
Palaver councils|Discussion forums,Extended dialogue and consensus - thorough discussion,Discuss thoroughly; seek consensus; hear all voices,930,SoulLayer:Philosophy,Palaver trees|extended debate|consensus-building,Palaver,West Africa,West Africa,Ndege hapo mku wa mwenzake (A bird does not drink where another bird is drinking)
Spiritual councils|Power keepers,Spiritual power and influence - sacred energy,Use power wisely; honor spiritual forces; channel energy,931,SoulLayer:Philosophy,Spiritual objects|power concentration|energy manipulation,Mojo,West Africa,West Africa,Nguvu ya mungu (Power of God)
Stool councils|Royal courts,Sacred authority and ancestral connection - throne of power,Honor ancestors; respect authority; maintain tradition,932,SoulLayer:Philosophy,Stool ceremonies|ancestral authority|royal lineage,Ashanti Stool,Ghana,West Africa,Akoma ntoaso (Joined hearts)
Dual councils|Balance keepers,Divine duality - cosmic balance of opposites,Honor duality; seek balance; embrace complementarity,933,SoulLayer:Philosophy,Dual divinity|complementary opposites|cosmic balance,Mawu-Lisa,West Africa (Fon),West Africa,Mawu creates Lisa completes
Ofo holders|Title societies,Divine order and natural law - cosmic harmony,Follow natural law; honor cycles; maintain harmony,934,SoulLayer:Philosophy,Four market days|cosmic cycles|natural law,Odinani,Nigeria (Igbo),West Africa,Onye aghana nwanne ya (No one should forget their brother)
Orisha councils|Priest councils,Divine forces and spiritual principles - sacred powers,Honor spiritual forces; worship properly; seek divine guidance,935,SoulLayer:Philosophy,Orisha worship|spiritual forces|divine intermediaries,Orisa,Nigeria (Yoruba),West Africa,Orisa ko mo eni ti o ko (The Orisha does not know who did not worship)
Vodun councils|Priest bodies,Spiritual forces and divine mysteries - sacred power,Respect spiritual forces; honor mysteries; channel divinity,936,SoulLayer:Philosophy,Vodun worship|spiritual possession|divine communication,Vodun,West Africa (Fon/Ewe),West Africa,Vodun ma nya deka o (Vodun is not one)
